,name,normal_assignment,assignment,state_var_normal_assignment,state_var_assign,if,loop,var_definition,emit,guarantee,function_call,rhs_msgsender,owner_is_msgsender,lhs_balance_assign,lhs_balance_owner_assign,is_constructor,visibility,modifier_names,is_called
2004,name,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
2005,symbol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
2006,decimals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
2007,totalSupply,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
2008,balanceOf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
2009,transfer,0,2,0,2,1,0,0,0,2,1,0,0,0,0,False,public,[],False
2010,multipleTransfer,0,3,0,2,0,1,0,0,2,1,0,0,0,0,False,public,[],False
2011,batchTransfer,0,3,0,2,0,1,0,0,4,1,0,0,0,0,False,public,[],False
2012,transferFrom,0,3,0,2,0,0,0,0,2,2,0,0,0,0,False,public,[],False
2013,approve,1,1,0,0,0,0,0,0,1,1,0,0,0,0,False,public,[],False
2014,approveAndCall,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,public,[],False
2015,increaseApproval,0,1,0,0,0,0,0,0,0,1,0,0,0,0,False,public,[],False
